subFolder,group,plate,well,cell,QC1,QC2
220221_ICells_Mattek_s01_cell_1,Mattek,plate1,s01,Mattek_s01_cell_1_plate1,A,A
220221_ICells_Mattek_s01_cell_1,Mattek,plate1,s01,Mattek_s01_cell_1_plate1,,
220221_ICells_Mattek_s01_cell_1,Mattek,plate1,s01,Mattek_s01_cell_1_plate1,,
220221_ICells_Mattek_s01_cell_1,Mattek,plate1,s01,Mattek_s01_cell_1_plate1,,
220221_ICells_Mattek_s01_cell_1,Mattek,plate1,s01,Mattek_s01_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s02_cell_1,Mattek,plate1,s02,Mattek_s02_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s03_cell_1,Mattek,plate1,s03,Mattek_s03_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
220221_ICells_Mattek_s04_cell_1,Mattek,plate1,s04,Mattek_s04_cell_1_plate1,,
